jump,Paper,Min Time,Time opt
1,855706.5672640848,991694.429449845,680994.5757418879
2,846631.058960942,991913.8192938264,680994.5757418879
3,848597.763573187,968083.6115076424,680994.5757418879
4,854617.1393867023,947033.5020535073,680994.5757418879
5,848505.1066343045,980950.3198946693,680994.5757418879
6,839904.1097839131,985963.0632192829,680994.5757418879
7,841965.5077317876,986864.1024343694,680994.5757418879
8,847258.2789756241,925392.4643844058,680994.5757418879
9,838618.0260556905,1008403.1916127463,680994.5757418879
10,843530.0586367229,994995.6688080122,680994.5757418879
1,865303.7713760373,899020.4809155655,665668.3560278681
2,849210.1021402195,918586.4621052964,665668.3560278681
3,839956.9493840687,911223.113377206,665668.3560278681
4,844321.9699603012,902036.3746511713,665668.3560278681
5,850560.6351608938,925922.300550637,665668.3560278681
6,853425.5922130662,894269.9826079129,665668.3560278681
7,843004.3686222945,889023.1352376898,665668.3560278681
8,847894.9196706646,901850.9681363658,665668.3560278681
9,842840.8755649332,910921.7566765691,665668.3560278681
10,841671.9778940477,886760.0412977143,665668.3560278681
1,825520.3947508015,887611.9365847276,651305.3816708076
2,823035.3393641283,923090.9783151991,651305.3816708076
3,815191.860638786,913921.6091282775,651305.3816708076
4,820336.3665870945,879506.0347071642,651305.3816708076
5,826908.1826383237,884268.5777503336,651305.3816708076
6,819798.522635371,862626.1198819538,651305.3816708076
7,818532.7967369148,922455.0344323276,651305.3816708076
8,815955.5690826192,891666.3706206937,651305.3816708076
9,820691.2992988398,897234.4902097931,651305.3816708076
10,813653.7770807331,921957.4599739694,651305.3816708076
1,844193.2855590107,1051195.1177834333,695183.7690020413
2,852099.1018997714,1053693.3302634414,695183.7690020413
3,836327.5220286071,1068135.3240853348,695183.7690020413
4,847806.0204245532,1062857.0889888247,695183.7690020413
5,847821.1502184765,1039396.6499260471,695183.7690020413
6,847489.8419528359,1122215.2475260503,695183.7690020413
7,847212.8862484504,1036709.4629967142,695183.7690020413
8,854498.574520644,1073906.6452447104,695183.7690020413
9,856885.9035663665,1099138.165423639,695183.7690020413
10,853713.0591033135,1038137.0110263381,695183.7690020413
1,826771.2949080971,995487.0735773644,661962.9561917708
2,829926.83888047,992940.8769869311,661962.9561917708
3,826697.7069333679,951435.3771689544,661962.9561917708
4,827686.0926090918,968565.5072878528,661962.9561917708
5,823638.2659915509,982869.4964949368,661962.9561917708
6,822943.2624420715,954233.1417366742,661962.9561917708
7,834124.6728050852,981988.5418118602,661962.9561917708
8,835319.0904419601,956428.4053815254,661962.9561917708
9,813338.1245534573,899122.1886311742,661962.9561917708
10,828863.8465738537,936121.1927865219,661962.9561917708
1,823522.9091674453,927632.4428996736,656760.4495093515
2,825520.9246969086,913306.8535971964,656760.4495093515
3,820225.0906550544,897884.7088847259,656760.4495093515
4,827217.2161765945,921066.8658879196,656760.4495093515
5,824476.7836634073,920665.0794425365,656760.4495093515
6,824442.5693290412,942730.7353475882,656760.4495093515
7,817269.8773031904,882788.1104063318,656760.4495093515
8,823357.4733939241,933589.1008182828,656760.4495093515
9,816105.0362850969,925240.0674994502,656760.4495093515
10,817830.4685770718,882579.5827919112,656760.4495093515
1,867550.8188941625,987867.6413178624,688680.4760887198
2,858752.426850568,985877.7250771449,688680.4760887198
3,863258.53885655,966810.4491645249,688680.4760887198
4,863151.0440478099,974251.7605753689,688680.4760887198
5,872271.3120833061,965480.5550628214,688680.4760887198
6,861266.071886949,931271.1096882292,688680.4760887198
7,871663.5967478777,955030.3302827874,688680.4760887198
8,868014.9797075875,935873.7443196244,688680.4760887198
9,861145.1488499066,967331.2808862078,688680.4760887198
10,847176.2075264952,973122.8231877032,688680.4760887198
1,855817.9983901746,991799.6836043755,682388.2379183229
2,862927.1792008976,949359.8196965024,682388.2379183229
3,856848.1740028483,979499.3703327063,682388.2379183229
4,855450.3044821526,951801.9057921021,682388.2379183229
5,851690.7159587423,926918.2210703719,682388.2379183229
6,861690.343144049,942462.6780159823,682388.2379183229
7,850438.3974365616,947423.9858962356,682388.2379183229
8,854903.6498871606,966207.0010885483,682388.2379183229
9,859704.4953280366,929766.539464343,682388.2379183229
10,856035.598243345,969647.0451244984,682388.2379183229
1,830083.5094951312,962680.5747564711,654464.7830271883
2,820510.4669456325,925245.0446765542,654464.7830271883
3,823187.3034388016,939730.8733659091,654464.7830271883
4,814127.7923667667,972871.1247008916,654464.7830271883
5,821336.6041110556,986108.7169675976,654464.7830271883
6,817768.7333607863,981630.8617946694,654464.7830271883
7,804800.8521554891,952112.6444757063,654464.7830271883
8,803832.6456104035,975550.6623278171,654464.7830271883
9,811389.0256481128,949208.250303797,654464.7830271883
10,805996.9725569946,945780.4150377834,654464.7830271883
1,835167.0588502123,1106215.911729507,671094.6253296195
2,838409.1268606299,1096092.2709860485,671094.6253296195
3,838911.1786833047,1075209.2219176008,671094.6253296195
4,844426.3350853518,1127512.5816660617,671094.6253296195
5,842874.6881307639,1042174.1239244161,671094.6253296195
6,840468.3487987628,1104726.0312524554,671094.6253296195
7,838421.6247477621,1085881.3794920254,671094.6253296195
8,820193.6479094606,1008231.7713075788,671094.6253296195
9,825916.8862277108,1092474.0886783951,671094.6253296195
10,835115.813686025,1097118.8123627051,671094.6253296195
