regular,Paper,Min Time,Time opt
0.1,850283.9868259355,992646.684896841,680994.5757418879
0.2,846844.9635760834,961219.1252148891,680994.5757418879
0.3,844855.7772464498,1003769.1036457364,680994.5757418879
0.4,848822.3179701461,948423.4001393393,680994.5757418879
0.5,850067.0900134612,1004507.2389944544,680994.5757418879
0.6,842114.9440836728,965061.811425945,680994.5757418879
0.7,857235.2005985362,1002774.5158157189,680994.5757418879
0.8,858093.3069759447,963729.7669110327,680994.5757418879
0.9,847654.748859629,961326.9894942532,680994.5757418879
1,847174.4575476231,996013.5526370052,680994.5757418879
0.1,850659.5281561553,890443.3572496376,665668.3560278681
0.2,851487.642344649,878966.3007469324,665668.3560278681
0.3,843273.6054527458,921543.0998856154,665668.3560278681
0.4,866771.3092477254,916145.8918180448,665668.3560278681
0.5,848143.7510831001,916900.3254150917,665668.3560278681
0.6,847022.8625375889,919527.4871039361,665668.3560278681
0.7,844720.6503851363,909664.8688992937,665668.3560278681
0.8,842658.2523396498,909055.3861996165,665668.3560278681
0.9,862065.1372106019,918874.1910943784,665668.3560278681
1,850617.667583336,923803.3127392157,665668.3560278681
0.1,820788.3758373377,882958.9731423275,651305.3816708076
0.2,821456.5621675599,861817.3059078896,651305.3816708076
0.3,834590.1706354229,857299.3017888067,651305.3816708076
0.4,820063.8156389253,888671.7121811074,651305.3816708076
0.5,829737.8792125082,886538.3115990676,651305.3816708076
0.6,820471.1316241684,912511.052548707,651305.3816708076
0.7,831041.5837595082,940492.1634153038,651305.3816708076
0.8,828295.3313642301,904364.4401134339,651305.3816708076
0.9,820049.6643135789,874234.2322068319,651305.3816708076
1,821229.6678579495,909352.5335028436,651305.3816708076
0.1,852401.0393757833,1009626.0871357764,695183.7690020413
0.2,857771.8566123283,1081686.5856756866,695183.7690020413
0.3,861253.498906876,1014655.0915938215,695183.7690020413
0.4,856197.5642566031,1059485.0526990443,695183.7690020413
0.5,842930.0114453267,1075627.977708339,695183.7690020413
0.6,843306.9196018892,1078767.894290007,695183.7690020413
0.7,843041.0683349869,1076961.3909631677,695183.7690020413
0.8,847333.0641521503,1033675.8403415346,695183.7690020413
0.9,849231.245784736,1041803.4279573307,695183.7690020413
1,858136.7823422044,1051171.2286474486,695183.7690020413
0.1,827335.4854021748,951488.3041924696,661962.9561917708
0.2,828242.3689369434,893942.7452260918,661962.9561917708
0.3,810828.1595509694,1000307.0847958471,661962.9561917708
0.4,816116.2912691332,983296.0140074958,661962.9561917708
0.5,833519.4585896065,953949.5876505185,661962.9561917708
0.6,836910.7557344032,952791.949438094,661962.9561917708
0.7,828330.3963784901,954486.8982333958,661962.9561917708
0.8,806271.1962966128,941884.1946338967,661962.9561917708
0.9,824990.7790916177,972392.8880298171,661962.9561917708
1,830925.11644104,980008.6309274866,661962.9561917708
0.1,820879.3977645613,932829.8464242002,656760.4495093515
0.2,830091.6439168111,915525.0800830012,656760.4495093515
0.3,835073.5464808097,907411.7974211574,656760.4495093515
0.4,837311.7963117312,946110.0500231162,656760.4495093515
0.5,831117.1547558182,933428.5768264094,656760.4495093515
0.6,824686.6831174018,918951.4743187351,656760.4495093515
0.7,832280.3909509924,913057.7790502384,656760.4495093515
0.8,825187.7151386482,926030.3988515208,656760.4495093515
0.9,813711.0237134153,904722.6520594273,656760.4495093515
1,826903.0294203982,954997.1025479072,656760.4495093515
0.1,868845.3930940568,970714.2348057178,688680.4760887198
0.2,861877.4854168055,956703.5841213233,688680.4760887198
0.3,865928.7694649615,994905.4946987226,688680.4760887198
0.4,877709.44541327,961223.9397804769,688680.4760887198
0.5,863255.3852774637,953378.4362955015,688680.4760887198
0.6,868430.43571919,962561.4023489298,688680.4760887198
0.7,855768.8471372601,988004.6818590729,688680.4760887198
0.8,863757.5246602528,986239.8351400723,688680.4760887198
0.9,872584.0672154232,1008422.0081377802,688680.4760887198
1,868745.9129132401,995410.6043978676,688680.4760887198
0.1,859052.3897295486,953450.2366447968,682388.2379183229
0.2,856109.5967279876,920320.0038953592,682388.2379183229
0.3,865349.7993585163,928427.8754979359,682388.2379183229
0.4,857908.9534814496,943826.9632923612,682388.2379183229
0.5,856459.0720501235,941657.8920335494,682388.2379183229
0.6,860418.8805628848,941286.1075370526,682388.2379183229
0.7,864008.500081091,975538.44671029,682388.2379183229
0.8,849193.3570511804,958713.7351430604,682388.2379183229
0.9,852597.1457083168,948708.5173251247,682388.2379183229
1,864943.0968483763,923167.1713870931,682388.2379183229
0.1,825749.1062660356,959664.6513082898,654464.7830271883
0.2,806696.0117091932,952668.513906553,654464.7830271883
0.3,816330.9241002715,919001.5493183242,654464.7830271883
0.4,818853.1687185923,978361.3453474571,654464.7830271883
0.5,815205.8607921052,926151.9615832645,654464.7830271883
0.6,815553.3003684301,982910.3964300194,654464.7830271883
0.7,818805.9678668766,932304.6275822279,654464.7830271883
0.8,825186.6596550328,971117.5288732083,654464.7830271883
0.9,822467.608154385,967480.2905618979,654464.7830271883
1,819757.619033589,984531.7307355253,654464.7830271883
0.1,828279.8254314001,1086267.197873028,671094.6253296195
0.2,843032.5395901981,1108442.0554911282,671094.6253296195
0.3,824110.8048878679,1086444.699650933,671094.6253296195
0.4,850894.2190717068,1086983.093028178,671094.6253296195
0.5,827136.6147413927,1087739.9175000526,671094.6253296195
0.6,842850.3205563118,1066772.97409327,671094.6253296195
0.7,838156.252509204,1069352.8031260208,671094.6253296195
0.8,844474.3382340326,1076539.7212293479,671094.6253296195
0.9,829610.9943436261,1127977.133826008,671094.6253296195
1,832187.5716253624,1062297.7219524882,671094.6253296195
