mu,gamma,average,max
0.1,0.0,1.541197520805488,3.362104238200601
0.1,0.1,1.581923125964809,3.366393456779792
0.1,0.2,1.6983653814671862,3.404116654444134
0.1,0.3,1.821468915234103,3.4547786736602117
0.1,0.4,1.9604900664479497,3.5151937028737463
0.1,0.5,2.123783290329337,3.794612605785465
0.1,0.6,2.344358311665057,4.311020526669664
0.1,0.7,2.610862738117038,4.952731369308103
0.1,0.8,3.087418637328796,5.603415952844832
0.1,0.9,4.165645056691523,7.944171613476448
0.1,1.0,12.132266528684129,48.62742266889515
0.2,0.0,2.237435572952829,5.671830483272493
0.2,0.1,1.6077615729422141,2.906540876308558
0.2,0.2,1.709265884884969,2.975326853564026
0.2,0.3,1.8176383942973617,3.2121273907841625
0.2,0.4,1.954867743281919,3.489200168798008
0.2,0.5,2.1126580054903807,3.789673945405308
0.2,0.6,2.32906059215665,4.306246616037012
0.2,0.7,2.595973127292308,4.949149899114055
0.2,0.8,3.070440417195416,5.6016309475608415
0.2,0.9,4.1528589515800345,7.944171613476448
0.2,1.0,12.132158009656672,48.62742266889515
0.3,0.0,2.693368311474467,7.560846365097016
0.3,0.1,1.6654338062967735,3.3457718486195382
0.3,0.2,1.7371323243181818,2.9736415621532
0.3,0.3,1.8440233346025676,3.2105474437709094
0.3,0.4,1.9687626417161268,3.4876320912395027
0.3,0.5,2.121752511848924,3.788788990743577
0.3,0.6,2.3350351487586796,4.30621244485535
0.3,0.7,2.598906248442395,4.949149899114055
0.3,0.8,3.07165434417923,5.6016309475608415
0.3,0.9,4.1519180787841945,7.944171613476448
0.3,1.0,12.132038193599598,48.62742266889515
0.4,0.0,3.7828934025416867,11.194207873589738
0.4,0.1,1.7171616360281658,3.658101716012156
0.4,0.2,1.7746907864592978,3.1304065934398944
0.4,0.3,1.8671583801411402,3.209909650567061
0.4,0.4,1.9875737050920512,3.487611825293673
0.4,0.5,2.1369777053836985,3.788788990743577
0.4,0.6,2.343780930510202,4.30621244485535
0.4,0.7,2.6042932289598983,4.949149899114055
0.4,0.8,3.0738024557438064,5.6016309475608415
0.4,0.9,4.1526292033033005,7.944171613476448
0.4,1.0,12.13200269640805,48.62742266889515
0.5,0.0,3.7221682429505463,11.358953579191144
0.5,0.1,1.7647631715994674,3.92527466282376
0.5,0.2,1.8088418923604026,3.3819254420462275
0.5,0.3,1.8899152406168296,3.209998251863816
0.5,0.4,2.007945752476591,3.487611825293673
0.5,0.5,2.151293879394544,3.788788990743577
0.5,0.6,2.353968707722708,4.30621244485535
0.5,0.7,2.611977434301681,4.949149899114055
0.5,0.8,3.077870776181405,5.6016309475608415
0.5,0.9,4.152470110608378,7.944171613476448
0.5,1.0,12.131931177268159,48.62742266889515
0.6,0.0,7.198285409610699,22.27217110727872
0.6,0.1,1.826972737207242,4.4947035812848375
0.6,0.2,1.8464489270798303,3.505215591408323
0.6,0.3,1.9186060311569686,3.2104506312782792
0.6,0.4,2.026396246518323,3.487611825293673
0.6,0.5,2.16662282182678,3.788788990743577
0.6,0.6,2.3636776520423184,4.30621244485535
0.6,0.7,2.620225158246527,4.949149899114055
0.6,0.8,3.082347912453075,5.6016309475608415
0.6,0.9,4.1542638406164425,7.944171613476448
0.6,1.0,12.13197220631716,48.62742266889515
0.7,0.0,7.138868452568354,22.25933953349433
0.7,0.1,1.900026063290927,4.6757968650362205
0.7,0.2,1.8956458282431317,3.8168390457676384
0.7,0.3,1.9629625431089972,3.668639707478653
0.7,0.4,2.059286715372019,3.76959124116455
0.7,0.5,2.1919316405867084,3.788788990743577
0.7,0.6,2.3846666732130615,4.30621244485535
0.7,0.7,2.633913935559861,4.949149899114055
0.7,0.8,3.0882126779904895,5.6016309475608415
0.7,0.9,4.156811259592943,7.944171613476448
0.7,1.0,12.131988829589327,48.62742266889515
0.8,0.0,7.094755065123705,22.24971487424441
0.8,0.1,2.0428805784160993,5.630621954340376
0.8,0.2,2.0046218804183775,4.898559444486237
0.8,0.3,2.0449900328946007,4.248574372915843
0.8,0.4,2.1303187527893885,3.989144466623329
0.8,0.5,2.251011993019876,3.788788990743577
0.8,0.6,2.4349739790317577,4.30621244485535
0.8,0.7,2.6731637498747363,4.949149899114055
0.8,0.8,3.1114622790468403,5.6016309475608415
0.8,0.9,4.1619100087229945,7.944171613476448
0.8,1.0,12.132088918727725,48.62742266889515
0.9,0.0,7.060146714435019,22.242228447986676
0.9,0.1,2.4254465827223903,7.4406639736401665
0.9,0.2,2.285777043805946,6.480299742462445
0.9,0.3,2.2987407234258863,5.993716989098685
0.9,0.4,2.3436575748118544,5.581547308702989
0.9,0.5,2.4388022363770534,5.566792323366329
0.9,0.6,2.58190881043833,5.104875888292825
0.9,0.7,2.7803192991555017,4.949149899114055
0.9,0.8,3.1775211248137203,5.6016309475608415
0.9,0.9,4.164982997865514,7.944171613476448
0.9,1.0,12.132032687583859,48.62742266889515
