i,Paper,Min Time,Time opt
1,836805,829759,680994.5757418879
2,838941,816225,665668.3560278681
3,812366,794972,651305.3816708076
4,827253,911737,695183.7690020413
5,813145,810588,661962.9561917708
6,810649,761366,656760.4495093515
7,853571,828468,688680.4760887198
8,842497,838454,682388.2379183229
9,803415,840146,654464.7830271883
10,819372,885898,671094.6253296195
11,858052,713809,687968.1991749884
12,857692,732509,689580.9764586003
13,804251,687021,648486.2089159007
14,817383,698051,654292.8127032269
15,848591,715087,680483.9164037625
16,800061,673409,648587.8302313235
17,829824,717553,677632.4893569171
18,864065,701648,676624.4427130694
19,874790,748333,705587.8103228756
20,828885,714062,664365.3703929629
21,805106,671293,640319.2764712868
22,867343,729786,690307.7181537312
23,856765,726544,685089.6095134421
24,785985,672409,630414.4107754434
25,807095,702562,662512.398456732
26,824432,704778,668547.956137865
27,844544,712061,680043.2235309207
28,872381,736515,693004.7815155316
29,827720,708984,669099.2209609594
30,885044,756077,708630.5724702912
